min_train_loss=0.241, at batch_size=512, rnn_size=300, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.189, at batch_size=512, rnn_size=300, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.176, at batch_size=512, rnn_size=300, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.304, at batch_size=512, rnn_size=400, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.242, at batch_size=512, rnn_size=400, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.185, at batch_size=512, rnn_size=400, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.177, at batch_size=512, rnn_size=400, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.275, at batch_size=512, rnn_size=400, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.205, at batch_size=512, rnn_size=400, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.185, at batch_size=512, rnn_size=400, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.177, at batch_size=512, rnn_size=400, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.280, at batch_size=512, rnn_size=400, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.201, at batch_size=512, rnn_size=400, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.187, at batch_size=512, rnn_size=400, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.176, at batch_size=512, rnn_size=400, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.266, at batch_size=512, rnn_size=500, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.198, at batch_size=512, rnn_size=500, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.188, at batch_size=512, rnn_size=500, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.177, at batch_size=512, rnn_size=500, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.249, at batch_size=512, rnn_size=500, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.194, at batch_size=512, rnn_size=500, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.186, at batch_size=512, rnn_size=500, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.177, at batch_size=512, rnn_size=500, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.243, at batch_size=512, rnn_size=500, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.190, at batch_size=512, rnn_size=500, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.183, at batch_size=512, rnn_size=500, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.177, at batch_size=512, rnn_size=500, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.488, at batch_size=1024, rnn_size=200, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.379, at batch_size=1024, rnn_size=200, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.299, at batch_size=1024, rnn_size=200, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.185, at batch_size=1024, rnn_size=200, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.446, at batch_size=1024, rnn_size=200, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.329, at batch_size=1024, rnn_size=200, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.249, at batch_size=1024, rnn_size=200, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.183, at batch_size=1024, rnn_size=200, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.403, at batch_size=1024, rnn_size=200, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.321, at batch_size=1024, rnn_size=200, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.248, at batch_size=1024, rnn_size=200, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.183, at batch_size=1024, rnn_size=200, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.286, at batch_size=1024, rnn_size=300, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.246, at batch_size=1024, rnn_size=300, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.210, at batch_size=1024, rnn_size=300, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.180, at batch_size=1024, rnn_size=300, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.269, at batch_size=1024, rnn_size=300, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.230, at batch_size=1024, rnn_size=300, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.204, at batch_size=1024, rnn_size=300, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=1024, rnn_size=300, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.260, at batch_size=1024, rnn_size=300, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.227, at batch_size=1024, rnn_size=300, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.204, at batch_size=1024, rnn_size=300, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=1024, rnn_size=300, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.252, at batch_size=1024, rnn_size=400, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.222, at batch_size=1024, rnn_size=400, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.197, at batch_size=1024, rnn_size=400, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=1024, rnn_size=400, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.237, at batch_size=1024, rnn_size=400, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.212, at batch_size=1024, rnn_size=400, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.191, at batch_size=1024, rnn_size=400, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=1024, rnn_size=400, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.240, at batch_size=1024, rnn_size=400, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.209, at batch_size=1024, rnn_size=400, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.192, at batch_size=1024, rnn_size=400, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=1024, rnn_size=400, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.237, at batch_size=1024, rnn_size=500, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.210, at batch_size=1024, rnn_size=500, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.192, at batch_size=1024, rnn_size=500, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.179, at batch_size=1024, rnn_size=500, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.226, at batch_size=1024, rnn_size=500, embed_dim=200, keep_prob=0.7, num_layers=1
